Received_msg,Prediction,kfold
How do you potty train a 4 months Pitbull?,other,0
printgre doc30,other,0
What time is it?,other,0
impress 5454 pages doc82,print,0
"Don't print doc38 7744 pages',other    
Print me doc47 3043 pages""",print,0
Don't impress doc100 3400 pages,print,0
"Can you print me doc33 1200 pages, please ?",print,0
"hi, do not impress doc32 3400 pages",other,0
Give me doc9,other,0
gredprint mydoc,other,0
"Hi, how are you ?",print,0
When do you start printing ?,other,0
"Hello, print me my doc26 3201 pages",print,0
"hi, do not print doc33 3444 pages",other,0
you can not impress doc55 1984 pages,other,0
print doc32 54 sheets,print,0
Imprint me doc23 4200 pages,print,0
print doc77,other,0
Print me doc37 43 pages ...,print,1
Impress my document doc28 1288 sheet,print,1
Give me one euro,other,1
Where are you going?,other,1
give me my doc35,other,1
Do not print doc83 1990 page,other,1
"Hi, do not print doc22 containing 1750 page.",other,1
Do not print me doc75 6643 page,other,1
impress doc98 3200 pages,print,1
What a beautiful impression !,other,1
you don't print doc65 1440 page,other,1
give me the doc3,other,1
Printing doc3 4500 pages,print,1
Where is the green room?,other,1
"Hi, I want to print doc1 which contains 1800 pages",print,1
Can you impress a document for me ?,other,2
you can impress 30000 pages doc9,print,1
What a impression.,other,2
Print doc39 100pages,print,1
you impress to me doc24 1431 pages,print,1
impresstarz gdoc1,other,2
print me one document 900pages!,print,2
fezfgimpress doc21 3222 page,other,2
Which online test series is best for GATE 2017 in CS stream?,other    ,3
Are you crazy ?,other,2
Impress my document  doc4 at 1800 pages,print,2
Can you print me doc?,other,2
Why are we worried about others' opinions?,other,2
Don't impress doc49 8563 pages,other,2
you have to print me doc27 1300 pages,print,2
"Hi, print me doc2 which contains 4500 pages",print,2
printing doc25 2000 pages,print,2
printzfe doc,other,2
impress the doc13 19 sheet,print,2
Can you give me a licence to print money?,other,2
"If I jump rope for five minutes, how many calories will I use?",other,3
"Hey, What are you doing ?",other,3
Don't impress doc21 4350 pages,other,3
Do you like to play?,other,3
reprint me doc3 1500 pages,print,2
Print doc32 1433 pages .,print,2
impress doc12 99 page,print,3
Impress my document which has 4000 pages,print,3
What are you doing?,other,3
Impress doc88 11 sheet,print,3
impress doc25 4555 page,print,3
Do you hear me .. ,other,3
print me doc98 1223 page,print,3
"Hi, print two document of 1000 pages",print,3
print  document3 .. !,other,3
"Hello, impress doc5 10000 pages",print,3
Have you ever printed a document with 1500 pages?,other,3
"Hello, impress doc14 with 21 sheets",print ,4
impressive this document!,other,3
Are you ready to impress?,other,4
impress doc29 13493 pages,print,3
Do not impress 3200 pages,other,4
qrinvqimpress doc2,other,4
"Hello, it will rain today?",other,4
Impress doc4 4500 pages,print,4
"Trump supporters, how do you feel about the way he's walking back his promises?",other,4
impress doc45 85 pages,print,4
you have to impress me doc91 3000 pages,print,4
"Hi, print me doc43 containing 1950 pages.",print,4
you do not print document 43 pages,other,4
Impress me doc10 and doc11 which contain 4500 pages in total,print,4
Do you impress documents?,other,4
print doc8 3211 pages.,print,4
impress me doc67 21 pages .,print,4
print me my doc65 1201 sheets,print,4
Have you ever print a document?,other,4
Are you still alive?,other,4
